,idoc_mgl,wl_m,kf_ms,river,n_wooster,d10,d50,d90,so,dm,dg,percent_finer_1mm
0,11.45,0.255,0.0004227128897472589,fish bypass Ering,0.159179467231387,0.240945512820512,13.320341047503,62.7290322580645,10.9981575651663,23.9740793225717,4.43460640666518,21.9512195121951
1,7.278333333333333,0.33,0.00010447426954127415,fish bypass Ering,0.142106778731014,0.137798804780876,10.359096313912,48.2999999999999,13.2425459012153,17.7585062170773,2.80691851916099,29.754230459307003
2,8.225714285714286,0.425,0.00023322949321504075,fish bypass Ering,0.150062294988376,0.124554491017964,9.30857648099027,35.0390862944162,11.4947726870897,14.1619739564872,2.43199824789823,30.175371711780404
3,4.905714285714287,0.24,4.425375849040091e-05,fish bypass Ering,0.141619999479158,0.12443027027027,7.98329853862213,40.8658753709199,12.436583839241,14.8781824174941,2.37006884707443,34.5392368610511
8,5.753,0.05,0.0007416950270005436,Aich,0.20832535866621324,0.34,3.34,24.73,6.630041237315997,8.44,3.11,30.5
9,2.2585714285714285,0.2,0.00023842587380886845,Aich,0.16576996626526205,0.2,1.91,39.72,9.32235217099204,11.03,2.98,41.8
10,7.718999999999999,0.08,0.004003406577677217,Aich,0.1875397985712708,0.34,2.82,34.87,7.789853540460063,11.45,3.43,37.5
11,9.354666666666667,0.17,0.001459632717653831,Aich,0.2160826734553441,0.46,3.38,24.73,5.639148871948674,8.45,3.66,28.1
12,13.456,0.3,0.0033627967610754634,fish bypass Ering,0.211044116567935,0.43217270194986,14.2633969118982,48.044929245283,4.49140037335987,20.0770924022251,8.3221302401868,13.7902214793146
13,12.1375,0.31,0.002230284945103626,fish bypass Ering,0.199392241924775,0.429156479217603,16.8838167435728,61.9973780487804,4.84744760258569,25.9095335390953,10.1455353933643,13.6486243481388
14,12.479000000000001,0.255,0.0032023905497540785,fish bypass Ering,0.189986417669575,0.349230769230769,15.2179034157832,50.630035335689,9.16317978474848,20.8915748922994,4.41171863636467,18.0846422338568
15,12.50625,0.3,0.004999343245055428,fish bypass Ering,0.195214063037504,0.350767543859649,14.883046237534,46.1677277716794,6.40328923308778,19.6182940377626,5.38006974951478,16.5545325779036
16,7.617333333333334,0.19,0.0037066044111695373,Eyach,0.23141464048716728,1.21,21.15,53.15,3.7115374447904514,24.22,12.72,9.3
17,9.693333333333333,0.22,0.007099251088338999,Eyach,0.2547241212188938,1.49,18.98,49.24,3.6246131535407353,21.67,11.31,12.7
18,9.022666666666668,0.25,0.007898151954412864,Eyach,0.2389372779021649,1.32,15.23,53.81,4.386687575887553,22.81,11.01,8.1
19,7.537999999999999,0.17,0.005668172220342284,Eyach,0.22826359553601772,1.25,23.32,54.48,3.4039468944291564,25.87,14.5,9.4
20,8.812000000000001,0.23,0.004155262212126643,Glatt,0.2190655679270774,0.49,7.62,26.21,5.579886659703325,10.63,4.14,22.0
21,9.145000000000001,0.29,0.003335896386548398,Glatt,0.22107700548469802,0.82,22.57,54.69,5.284597079450318,25.24,9.4,13.100000000000001
22,5.475833333333333,0.37,0.0035035382645157106,Glatt,0.20737548389413227,0.69,22.76,54.8,4.305697789818634,25.38,11.59,12.3
23,7.198666666666667,0.31,0.002853280552565466,Glatt,0.18080716596475965,0.34,10.61,47.89,8.401298600919871,17.11,4.62,24.0
24,8.516,0.06,0.009072014104456377,Glatt,0.2411311754609452,0.82,14.52,46.73,4.997296566441998,18.98,7.4,13.600000000000001
25,10.639333333333333,0.04,0.012276364550584198,Glatt,0.22930914743401767,0.83,14.24,51.52,5.904844409465841,20.49,7.56,13.8
26,3.6199999999999997,0.25,0.000567103657980251,Glems,0.3128835516731669,0.15,0.45,1.74,2.2710998958306754,0.97,0.43,85.3
27,1.032,0.15,0.0008293275168577354,Glems,0.16652926869565196,0.29,3.4,46.6,8.872313605703347,15.37,3.45,37.6
28,1.0346666666666666,0.18,0.00024339779243731435,Glems,0.18839881681238047,0.15,0.61,15.67,7.581140033697196,5.03,1.46,61.1
29,2.9993333333333334,0.09,0.0010236751353587792,Glems,0.23568380136502773,0.27,1.05,12.46,4.421835770236991,4.45,1.69,49.2
30,2.1546666666666665,0.09,0.0003266571755218178,Glems,0.2765636744890997,0.17,0.67,3.45,3.13581462037113,1.75,0.75,67.4
31,2.716666666666667,0.07,0.0017765992172394096,Glems,0.18080716596475965,0.25,1.96,29.73,8.294576541331088,9.98,2.91,39.6
32,2.348666666666667,0.15,0.002620964412363315,Lein,0.1727302418616011,0.38,6.25,46.5,8.471405189362208,15.27,4.31,36.1
33,2.5253333333333337,0.24,0.0012742546312124123,Lein,0.16729204907921866,0.43,9.09,51.17,8.298154915401375,18.05,5.32,27.6
34,2.8264285714285715,0.27,0.0016637772715327782,Lein,0.2190655679270774,0.61,2.18,30.04,5.494531228205143,10.13,4.33,23.400000000000002
35,3.552,0.39,0.000849420919417518,Lein,0.13557446979518825,0.07,2.08,38.17,15.576789259547798,10.71,1.69,42.8
36,10.355333333333332,0.22,0.005053506375301457,Rems,0.2547241212188938,2.03,18.92,50.98,3.0256919399504585,22.7,14.46,7.9
37,9.967333333333332,0.28,0.004490638734084715,Rems,0.22930914743401767,0.87,17.09,52.37,5.4247241016430845,22.26,8.24,12.0
38,11.69,0.22,0.005073968380875528,Rems,0.23676334120696527,0.95,16.61,51.39,4.53482009581807,21.87,9.47,10.5
39,4.579285714285715,0.33,0.003777312362647293,Rems,0.2478344745344525,1.07,17.81,52.57,4.63421638882579,22.9,9.65,9.6
