,id_x,meas_station_x,sample_id,dp_position,sediment_depth_m_x,idoc_mgl,temp_c,idoc_sat,H_m_x,operator_name_x,comment_x,id_y,meas_station_y,sediment_depth_m_y,kf_ms,slurp_rate_avg_mls,H_m_y,operator_name_y,comment_y
27,9457.0,Glems 6, Glems 6,13,0.07999999999999996,4.38,14.75,45.15,0.55,Seitz,,8650.0,Glems 6,0.07999999999999996,0.003621298904213,7.633333333333333,0.55,Seitz,
28,9458.0,Glems 6, Glems 6,14,0.04999999999999993,5.8,14.8,59.95,0.55,Seitz,,8651.0,Glems 6,0.04999999999999993,0.00333247852257198,6.466666666666666,0.55,Seitz,
29,9459.0,Glems 6, Glems 6,15,0.019999999999999962,8.22,14.95,85.2,0.55,Seitz,,8652.0,Glems 6,0.019999999999999962,0.0106789466915357,15.986666666666666,0.55,Seitz,
30,9460.0,Rems 3, Rems 3,1,0.44999999999999996,9.37,13.65,94.05,0.54,Seitz,,8428.0,Rems 3,0.44999999999999996,0.00419842984945713,35.7,0.54,Seitz,
31,9461.0,Rems 3, Rems 3,2,0.41999999999999993,8.4,13.85,82.75,0.54,Seitz,,8429.0,Rems 3,0.41999999999999993,,,0.54,Seitz,
32,9462.0,Rems 3, Rems 3,3,0.38999999999999996,9.23,13.0,91.3,0.54,Seitz,,8430.0,Rems 3,0.38999999999999996,0.00339239305204028,31.666666666666668,0.54,Seitz,
33,9463.0,Rems 3, Rems 3,4,0.36,7.32,12.9,72.25,0.54,Seitz,,8431.0,Rems 3,0.36,0.00491078351107441,41.32666666666667,0.54,Seitz,
34,9464.0,Rems 3, Rems 3,5,0.32999999999999996,9.69,13.25,96.4,0.54,Seitz,,8432.0,Rems 3,0.32999999999999996,0.00377423839837034,31.846666666666668,0.54,Seitz,
35,9465.0,Rems 3, Rems 3,6,0.29999999999999993,12.17,13.2,121.2,0.54,Seitz,,8433.0,Rems 3,0.29999999999999993,0.00480411112869884,36.285,0.54,Seitz,
36,9466.0,Rems 3, Rems 3,7,0.26999999999999996,11.99,13.2,119.37,0.54,Seitz,,8434.0,Rems 3,0.26999999999999996,0.00507394554939339,36.245000000000005,0.54,Seitz,
37,9467.0,Rems 3, Rems 3,8,0.23999999999999996,11.13,13.45,111.5,0.54,Seitz,,8435.0,Rems 3,0.23999999999999996,0.00624786021586227,39.89,0.54,Seitz,
38,9468.0,Rems 3, Rems 3,9,0.20999999999999996,12.28,13.1,121.8,0.54,Seitz,,8436.0,Rems 3,0.20999999999999996,0.00566217246037357,33.056666666666665,0.54,Seitz,
39,9469.0,Rems 3, Rems 3,10,0.17999999999999994,13.39,13.1,132.65,0.54,Seitz,,8437.0,Rems 3,0.17999999999999994,0.00265273523691897,16.279999999999998,0.54,Seitz,
40,9470.0,Rems 3, Rems 3,11,0.14999999999999997,13.77,13.27,136.93,0.54,Seitz,,8438.0,Rems 3,0.14999999999999997,0.00286569033272263,16.900000000000002,0.54,Seitz,
41,9471.0,Rems 3, Rems 3,12,0.12,14.04,13.53,140.13,0.54,Seitz,,8439.0,Rems 3,0.12,0.00603780826646991,29.72666666666667,0.54,Seitz,
42,9472.0,Rems 3, Rems 3,13,0.08999999999999997,14.18,13.25,140.65,0.54,Seitz,,8440.0,Rems 3,0.08999999999999997,,,0.54,Seitz,
43,9473.0,Rems 3, Rems 3,14,0.05999999999999994,14.03,13.3,141.2,0.54,Seitz,,8441.0,Rems 3,0.05999999999999994,0.0112674525691246,46.92,0.54,Seitz,
44,9474.0,Rems 3, Rems 3,15,0.02999999999999997,14.36,13.3,142.55,0.54,Seitz,,8442.0,Rems 3,0.02999999999999997,,,0.54,Seitz,
45,9475.0,Aich 1,Aich 1,1,0.48,4.67,10.0,43.35,0.5,Seitz,,8338.0,Aich 1,0.48,0.000307726423985508,2.5700000000000003,0.5,Seitz,
46,9476.0,Aich 1,Aich 1,2,0.44999999999999996,4.470000000000001,10.0,41.45,0.5,Seitz,,8339.0,Aich 1,0.44999999999999996,1.06397985339003e-05,0.08499999999999999,0.5,Seitz,
47,9477.0,Aich 1,Aich 1,3,0.42,4.779999999999999,10.0,44.45,0.5,Seitz,,8340.0,Aich 1,0.42,0.000803280987617995,5.1000000000000005,0.5,Seitz,
48,9478.0,Aich 1,Aich 1,4,0.39,4.68,10.0,43.599999999999994,0.5,Seitz,,8341.0,Aich 1,0.39,0.00051620023224998,3.568333333333334,0.5,Seitz,
49,9479.0,Aich 1,Aich 1,5,0.36,4.404999999999999,10.0,41.0,0.5,Seitz,,8342.0,Aich 1,0.36,0.000854217556039658,5.527777777777778,0.5,Seitz,
50,9480.0,Aich 1,Aich 1,6,0.32999999999999996,4.17,10.0,38.75,0.5,Seitz,,8343.0,Aich 1,0.32999999999999996,0.000685468523940917,4.092222222222222,0.5,Seitz,
51,9481.0,Aich 1,Aich 1,7,0.3,4.125,10.1,38.35,0.5,Seitz,,8344.0,Aich 1,0.3,0.00102884546862471,5.6244444444444435,0.5,Seitz,
52,9482.0,Aich 1,Aich 1,8,0.27,3.885,10.1,36.150000000000006,0.5,Seitz,,8345.0,Aich 1,0.27,0.000661494608155657,3.442222222222222,0.5,Seitz,
53,9483.0,Aich 1,Aich 1,9,0.24,3.925,10.1,36.599999999999994,0.5,Seitz,,8346.0,Aich 1,0.24,0.000107280908773943,0.48000000000000004,0.5,Seitz,
54,9484.0,Aich 1,Aich 1,10,0.20999999999999996,2.325,10.3,22.2,0.5,Seitz,,8347.0,Aich 1,0.20999999999999996,1.20292820785504e-05,0.04777777777777778,0.5,Seitz,
55,9485.0,Aich 1,Aich 1,11,0.18,1.955,10.3,18.35,0.5,Seitz,,8348.0,Aich 1,0.18,9.33382361152371e-05,0.3033333333333333,0.5,Seitz,
56,9486.0,Aich 1,Aich 1,12,0.15000000000000002,10.815,10.5,101.5,0.5,Seitz,,8349.0,Aich 1,0.15000000000000002,0.000499305527693354,1.4033333333333333,0.5,Seitz,
57,9487.0,Aich 1,Aich 1,13,0.12,10.915,10.55,102.47,0.5,Seitz,,8350.0,Aich 1,0.12,0.00135866925759816,3.7422222222222223,0.5,Seitz,
58,9488.0,Aich 1,Aich 1,14,0.08999999999999997,10.93,10.6,102.95,0.5,Seitz,,8351.0,Aich 1,0.08999999999999997,0.00344523356660004,8.086666666666668,0.5,Seitz,
59,9489.0,Aich 1,Aich 1,15,0.06,10.245000000000001,10.8,96.95,0.5,Seitz,,8352.0,Aich 1,0.06,,,0.5,Seitz,
60,9490.0,Aich 2,Aich 2,1,0.53,,,,0.46,Seitz,,8353.0,Aich 2,0.53,,,0.46,Seitz,
61,9491.0,Aich 2,Aich 2,2,0.5,2.39,10.55,22.1,0.46,Seitz,,8354.0,Aich 2,0.5,0.000378333349969358,4.194444444444444,0.46,Seitz,
62,9492.0,Aich 2,Aich 2,3,0.47000000000000003,1.72,10.6,16.0,0.46,Seitz,,8355.0,Aich 2,0.47000000000000003,0.000271780576031268,2.8855555555555554,0.46,Seitz,
63,9493.0,Aich 2,Aich 2,4,0.44000000000000006,1.63,10.6,15.25,0.46,Seitz,,8356.0,Aich 2,0.44000000000000006,0.000329875333934474,3.3477777777777784,0.46,Seitz,
64,9494.0,Aich 2,Aich 2,5,0.41000000000000003,0.79,10.6,7.45,0.46,Seitz,,8357.0,Aich 2,0.41000000000000003,0.000271463583724852,2.627777777777778,0.46,Seitz,
65,9495.0,Aich 2,Aich 2,6,0.38,0.68,10.65,6.3,0.46,Seitz,,8358.0,Aich 2,0.38,6.9952721318768e-05,0.6444444444444444,0.46,Seitz,
66,9496.0,Aich 2,Aich 2,7,0.35000000000000003,1.15,10.7,10.75,0.46,Seitz,,8359.0,Aich 2,0.35000000000000003,1.64682255431433e-06,0.014444444444444446,0.46,Seitz,
67,9497.0,Aich 2,Aich 2,8,0.32000000000000006,0.77,10.9,7.3,0.46,Seitz,,8360.0,Aich 2,0.32000000000000006,0.000185253526214971,1.5333333333333332,0.46,Seitz,
